,Title,URL,Image,AverageStars,NumberofReviews,ReviewsURL,Price,Free Pickup
19,Envion Ionic Pro CA 200 Compact Air Purifier Mini Air Ionizer Black,https://www.walmart.com/ip/Envion-Ionic-Pro-CA-200-Compact-Air-Purifier-Mini-Air-Ionizer-Black/3957045,https://i5.walmartimages.com/asr/0715b6c6-03e5-4700-a949-3f8bd7db6a6a.04ae44ff5ead9a97c421042cc0f3d17d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.0,380,https://www.walmart.com/ip/Envion-Ionic-Pro-CA-200-Compact-Air-Purifier-Mini-Air-Ionizer-Black/3957045#customer-reviews,$79.94,True
59,Envion Ionic Pro CA 200 Compact Air Purifier Mini Air Ionizer Black,https://www.walmart.com/ip/Envion-Ionic-Pro-CA-200-Compact-Air-Purifier-Mini-Air-Ionizer-Black/3957045,https://i5.walmartimages.com/asr/0715b6c6-03e5-4700-a949-3f8bd7db6a6a.04ae44ff5ead9a97c421042cc0f3d17d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.0,380,https://www.walmart.com/ip/Envion-Ionic-Pro-CA-200-Compact-Air-Purifier-Mini-Air-Ionizer-Black/3957045#customer-reviews,$79.94,True
52,"Honeywell HEPA Allergen Remover Air Purifier, Reduces up to 99.9% of certain viruses, bacteria and mold spores*, HPA300, Black",https://www.walmart.com/ip/Honeywell-HEPA-Allergen-Remover-Air-Purifier-Reduces-up-to-99-9-of-certain-viruses-bacteria-and-mold-spores-HPA300-Black/37770927,https://i5.walmartimages.com/asr/3574cc6b-93c9-4c02-89c2-6756d204fe09_1.7e49f59e7cbf1e7f786efa3a5d450e56.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.6,261,https://www.walmart.com/ip/Honeywell-HEPA-Allergen-Remover-Air-Purifier-Reduces-up-to-99-9-of-certain-viruses-bacteria-and-mold-spores-HPA300-Black/37770927#customer-reviews,$220.99,True
12,"Honeywell HEPA Allergen Remover Air Purifier, Reduces up to 99.9% of certain viruses, bacteria and mold spores*, HPA300, Black",https://www.walmart.com/ip/Honeywell-HEPA-Allergen-Remover-Air-Purifier-Reduces-up-to-99-9-of-certain-viruses-bacteria-and-mold-spores-HPA300-Black/37770927,https://i5.walmartimages.com/asr/3574cc6b-93c9-4c02-89c2-6756d204fe09_1.7e49f59e7cbf1e7f786efa3a5d450e56.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.6,261,https://www.walmart.com/ip/Honeywell-HEPA-Allergen-Remover-Air-Purifier-Reduces-up-to-99-9-of-certain-viruses-bacteria-and-mold-spores-HPA300-Black/37770927#customer-reviews,$220.99,True
42,"Filtrete by 3M Room Air Purifier, Console, 110 Sq ft coverage, Black, HEPA-Type Allergen Filter Included",https://www.walmart.com/ip/Filtrete-by-3M-Room-Air-Purifier-Console-110-Sq-ft-coverage-Black-HEPA-Type-Allergen-Filter-Included/475820314,https://i5.walmartimages.com/asr/eae28c2f-5dbe-4a96-b30c-c381a64b056e_1.572259f55119e41bb4d69602667a85b0.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.6,228,https://www.walmart.com/ip/Filtrete-by-3M-Room-Air-Purifier-Console-110-Sq-ft-coverage-Black-HEPA-Type-Allergen-Filter-Included/475820314#customer-reviews,$49.94,True
2,"Filtrete by 3M Room Air Purifier, Console, 110 Sq ft coverage, Black, HEPA-Type Allergen Filter Included",https://www.walmart.com/ip/Filtrete-by-3M-Room-Air-Purifier-Console-110-Sq-ft-coverage-Black-HEPA-Type-Allergen-Filter-Included/475820314,https://i5.walmartimages.com/asr/eae28c2f-5dbe-4a96-b30c-c381a64b056e_1.572259f55119e41bb4d69602667a85b0.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.6,228,https://www.walmart.com/ip/Filtrete-by-3M-Room-Air-Purifier-Console-110-Sq-ft-coverage-Black-HEPA-Type-Allergen-Filter-Included/475820314#customer-reviews,$49.94,True
23,"Honeywell QuietCare True HEPA Air Purifier 17000-S, White",https://www.walmart.com/ip/Honeywell-QuietCare-True-HEPA-Air-Purifier-17000-S-White/870795,https://i5.walmartimages.com/asr/9b9d31d5-1e81-481d-b267-06d0ea243b09_1.c51e6d3ca920d1b2c5950e7f624238b2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.5,166,https://www.walmart.com/ip/Honeywell-QuietCare-True-HEPA-Air-Purifier-17000-S-White/870795#customer-reviews,$147.01,True
63,"Honeywell QuietCare True HEPA Air Purifier 17000-S, White",https://www.walmart.com/ip/Honeywell-QuietCare-True-HEPA-Air-Purifier-17000-S-White/870795,https://i5.walmartimages.com/asr/9b9d31d5-1e81-481d-b267-06d0ea243b09_1.c51e6d3ca920d1b2c5950e7f624238b2.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.5,166,https://www.walmart.com/ip/Honeywell-QuietCare-True-HEPA-Air-Purifier-17000-S-White/870795#customer-reviews,$147.01,True
45,"High-Efficiency HEPA-Type Desktop Air Purifier, Carbon Filter, 110 Square Foot Room Capacity, Three Speed (HAP242-UC)",https://www.walmart.com/ip/High-Efficiency-HEPA-Type-Desktop-Air-Purifier-Carbon-Filter-110-Square-Foot-Room-Capacity-Three-Speed-HAP242-UC/14590699,https://i5.walmartimages.com/asr/5ba9740e-a3f1-4f49-81e5-863f844adf57_1.3f59ddeb6f086de3407c9afa81f3c903.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.5,141,https://www.walmart.com/ip/High-Efficiency-HEPA-Type-Desktop-Air-Purifier-Carbon-Filter-110-Square-Foot-Room-Capacity-Three-Speed-HAP242-UC/14590699#customer-reviews,$42.49,True
5,"High-Efficiency HEPA-Type Desktop Air Purifier, Carbon Filter, 110 Square Foot Room Capacity, Three Speed (HAP242-UC)",https://www.walmart.com/ip/High-Efficiency-HEPA-Type-Desktop-Air-Purifier-Carbon-Filter-110-Square-Foot-Room-Capacity-Three-Speed-HAP242-UC/14590699,https://i5.walmartimages.com/asr/5ba9740e-a3f1-4f49-81e5-863f844adf57_1.3f59ddeb6f086de3407c9afa81f3c903.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.5,141,https://www.walmart.com/ip/High-Efficiency-HEPA-Type-Desktop-Air-Purifier-Carbon-Filter-110-Square-Foot-Room-Capacity-Three-Speed-HAP242-UC/14590699#customer-reviews,$42.49,True
0,Coway AP-1512HH Mighty White Air Purifier with True HEPA and Smart Mode,https://www.walmart.com/ip/Coway-AP-1512HH-Mighty-White-Air-Purifier-with-True-HEPA-and-Smart-Mode/194187883?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:rxQslfdsPQVPDNo7MzdGzagUqSGRfccRZ9KRqwGKXSVIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA1b7xlKbJ6A3ejoef0OqmxnGB3IoyhbBDrAKKWBl6PC4FR1pIJzx8NKRXUdcALlb8eIqF2sqlXu-TLRnJrhSK4IvDl9hWIR7S5FgKZWajIE1lNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=1&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=76259287-4b72-4bd0-8064-f6a0c79aeb2e&wpa_pg=search&wpa_pg_id=room air purifier&wpa_st=room%2Bair%2Bpurifier&wpa_tax=1072864_133032_1231459_46324_2001565&wpa_bucket=__bkt__,https://i5.walmartimages.com/asr/620213fd-d3f3-4e0a-a69b-89e0e0578c08_1.91b3fb91648f11c8f48836c6f8f2d2f5.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,4.6,137,https://www.walmart.com/ip/Coway-AP-1512HH-Mighty-White-Air-Purifier-with-True-HEPA-and-Smart-Mode/194187883?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:rxQslfdsPQVPDNo7MzdGzagUqSGRfccRZ9KRqwGKXSVIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUA1b7xlKbJ6A3ejoef0OqmxnGB3IoyhbBDrAKKWBl6PC4FR1pIJzx8NKRXUdcALlb8eIqF2sqlXu-TLRnJrhSK4IvDl9hWIR7S5FgKZWajIE1lNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=&wpa_aux_info=&wpa_pos=1&wpa_plmt=1145x1145_T-C-IG_TI_1-2_HL-INGRID-GRID-NY&wpa_aduid=76259287-4b72-4bd0-8064-f6a0c79aeb2e#customer-reviews&wpa_pg=search&wpa_pg_id=room air purifier&wpa_st=room%2Bair%2Bpurifier&wpa_tax=1072864_133032_1231459_46324_2001565&wpa_bucket=__bkt__,$184.00,True
